train_window,year,window_start_date,window_end_date,window_days,combined_regime,days,strategy,strategy_sats,dca_sats,extra_sats_vs_dca,strategy_spd,dca_spd,extra_spd_vs_dca,spd_ratio,improvement_pct,status,candidate_weight_col,candidate_weight_col_used_for_eval,uses_shifted_candidate_weight
4,2021,2021-01-01,2021-12-31,365,BTC Bull | Normal MVRV | Realized Growth Leading,26,stacksats_momentum_weight,131947.72388355967,133294.3500549176,-1346.6261713579297,131.94772388355966,133.2943500549176,-1.34662617135794,0.9898973499566701,-1.0102650043329886,worse,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
4,2021,2021-01-01,2021-12-31,365,BTC Bull | Normal MVRV | Realized Growth Leading,26,sma_340d_weight,243285.43004539737,133294.3500549176,109991.07999047978,243.28543004539736,133.2943500549176,109.99107999047976,1.8251743599422119,82.51743599422119,better,sma_340d_weight,sma_340d_weight_shifted,True
4,2021,2021-01-01,2021-12-31,365,BTC Neutral | Normal MVRV | Realized Growth Leading,21,stacksats_mvrv_weight,450.91811713532417,123876.43837148492,-123425.5202543496,0.45091811713532415,123.87643837148492,-123.42552025434959,0.0036400636235851035,-99.63599363764149,worse,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
4,2021,2021-01-01,2021-12-31,365,BTC Neutral | Normal MVRV | Realized Growth Leading,21,stacksats_momentum_weight,129082.97709117428,123876.43837148492,5206.538719689357,129.08297709117429,123.87643837148492,5.206538719689362,1.0420300969912923,4.203009699129234,better,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
4,2021,2021-01-01,2021-12-31,365,BTC Neutral | Normal MVRV | Realized Growth Leading,21,sma_340d_weight,299106.9297900667,123876.43837148492,175230.49141858175,299.10692979006666,123.87643837148492,175.23049141858172,2.4145586822014895,141.45586822014894,better,sma_340d_weight,sma_340d_weight_shifted,True
5,2022,2022-01-01,2022-12-31,365,BTC Bear | Low MVRV | Realized Growth Leading,167,stacksats_mvrv_weight,2578981.0572360083,2422124.2298395513,156856.82739645708,2578.9810572360084,2422.1242298395514,156.856827396457,1.0647600257096836,6.476002570968364,better,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
5,2022,2022-01-01,2022-12-31,365,BTC Bear | Low MVRV | Realized Growth Leading,167,stacksats_momentum_weight,2390622.2125819535,2422124.2298395513,-31502.017257597763,2390.6222125819536,2422.1242298395514,-31.5020172575978,0.9869940538682921,-1.3005946131707913,worse,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
5,2022,2022-01-01,2022-12-31,365,BTC Bear | Low MVRV | Realized Growth Leading,167,sma_340d_weight,2741619.1844461514,2422124.2298395513,319494.9546066001,2741.6191844461514,2422.1242298395514,319.4949546066,1.1319069231340642,13.190692313406416,better,sma_340d_weight,sma_340d_weight_shifted,True
5,2022,2022-01-01,2022-12-31,365,BTC Bear | Normal MVRV | Realized Growth Leading,162,stacksats_mvrv_weight,1041377.6599083557,1366072.7143543959,-324695.0544460402,1041.3776599083558,1366.0727143543959,-324.6950544460401,0.762314955101427,-23.7685044898573,worse,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
5,2022,2022-01-01,2022-12-31,365,BTC Bear | Normal MVRV | Realized Growth Leading,162,stacksats_momentum_weight,1364833.1034841118,1366072.7143543959,-1239.6108702840284,1364.833103484112,1366.0727143543959,-1.2396108702839683,0.9990925732889191,-0.09074267110809053,worse,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
5,2022,2022-01-01,2022-12-31,365,BTC Bear | Normal MVRV | Realized Growth Leading,162,sma_340d_weight,1296674.6612918987,1366072.7143543959,-69398.05306249717,1296.6746612918987,1366.0727143543959,-69.39805306249718,0.9491988586454605,-5.08011413545395,worse,sma_340d_weight,sma_340d_weight_shifted,True
5,2022,2022-01-01,2022-12-31,365,BTC Neutral | Normal MVRV | Realized Growth Leading,29,stacksats_mvrv_weight,186929.562304647,183992.09139225484,2937.470912392164,186.929562304647,183.99209139225485,2.9374709123921434,1.0159652020375687,1.5965202037568682,better,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
5,2022,2022-01-01,2022-12-31,365,BTC Neutral | Normal MVRV | Realized Growth Leading,29,stacksats_momentum_weight,184711.56223180747,183992.09139225484,719.4708395526395,184.71156223180748,183.99209139225485,0.7194708395526277,1.0039103356786068,0.3910335678606769,better,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
5,2022,2022-01-01,2022-12-31,365,BTC Neutral | Normal MVRV | Realized Growth Leading,29,sma_340d_weight,138594.32356853533,183992.09139225484,-45397.76782371951,138.59432356853532,183.99209139225485,-45.39776782371953,0.7532623957899608,-24.67376042100392,worse,sma_340d_weight,sma_340d_weight_shifted,True
6,2023,2023-01-01,2023-12-31,365,BTC Bear | Normal MVRV | Realized Growth Leading,40,stacksats_mvrv_weight,547991.0279449653,494693.2704325089,53297.75751245639,547.9910279449653,494.6932704325089,53.29775751245637,1.1077389984825512,10.77389984825512,better,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
6,2023,2023-01-01,2023-12-31,365,BTC Bear | Normal MVRV | Realized Growth Leading,40,stacksats_momentum_weight,477239.115197442,494693.2704325089,-17454.155235066894,477.239115197442,494.6932704325089,-17.454155235066878,0.9647172171559828,-3.52827828440172,worse,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
6,2023,2023-01-01,2023-12-31,365,BTC Bear | Normal MVRV | Realized Growth Leading,40,sma_340d_weight,811319.8408735908,494693.2704325089,316626.5704410819,811.3198408735908,494.6932704325089,316.6265704410819,1.6400462455538485,64.00462455538485,better,sma_340d_weight,sma_340d_weight_shifted,True
6,2023,2023-01-01,2023-12-31,365,BTC Bull | Normal MVRV | Market Growth Leading,225,stacksats_mvrv_weight,1969509.8065860623,2021820.1311052027,-52310.32451914041,1969.5098065860623,2021.8201311052028,-52.31032451914052,0.9741271126375887,-2.5872887362411334,worse,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
6,2023,2023-01-01,2023-12-31,365,BTC Bull | Normal MVRV | Market Growth Leading,225,stacksats_momentum_weight,2056664.694478694,2021820.1311052027,34844.56337349117,2056.664694478694,2021.8201311052028,34.844563373491155,1.0172342548367266,1.7234254836726581,better,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
6,2023,2023-01-01,2023-12-31,365,BTC Bull | Normal MVRV | Market Growth Leading,225,sma_340d_weight,1779451.4245480206,2021820.1311052027,-242368.70655718213,1779.4514245480207,2021.8201311052028,-242.36870655718212,0.8801235071169786,-11.987649288302137,worse,sma_340d_weight,sma_340d_weight_shifted,True
6,2023,2023-01-01,2023-12-31,365,BTC Neutral | Normal MVRV | Realized Growth Leading,59,stacksats_mvrv_weight,616704.6633707376,591637.7810095715,25066.882361166063,616.7046633707375,591.6377810095715,25.066882361165995,1.0423686302088278,4.236863020882775,better,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
6,2023,2023-01-01,2023-12-31,365,BTC Neutral | Normal MVRV | Realized Growth Leading,59,stacksats_momentum_weight,574356.7014666421,591637.7810095715,-17281.079542929423,574.3567014666421,591.6377810095715,-17.281079542929433,0.9707911156156374,-2.9208884384362643,worse,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
6,2023,2023-01-01,2023-12-31,365,BTC Neutral | Normal MVRV | Realized Growth Leading,59,sma_340d_weight,564739.3705400284,591637.7810095715,-26898.410469543072,564.7393705400284,591.6377810095715,-26.898410469543137,0.9545356781920795,-4.546432180792048,worse,sma_340d_weight,sma_340d_weight_shifted,True
