status,momentum_lookback,sma_lookback,regime_lookback,fallback_strategy,total_lookback,train_windows,train_improvement_pct,train_extra_spd_sum_vs_dca,train_win_rate_pct,train_strategy_sats,train_dca_sats,train_fallback_days,error
success,21,180,210,sma_180d_weight,411,6,0.33460856393925376,169.02000132014655,83.33333333333334,50681774.16706032,50512754.16574016,13,
success,21,180,210,stacksats_mvrv_weight,411,6,0.18185460310995438,91.8597686080102,83.33333333333334,50604613.93434819,50512754.16574016,13,
success,21,180,210,stacksats_momentum_weight,411,6,0.2603287460085202,131.49921949404234,83.33333333333334,50644253.38523423,50512754.16574016,13,
success,21,180,240,sma_180d_weight,441,6,0.5090599506550886,257.1402014306441,83.33333333333334,50769894.36717082,50512754.16574016,13,
success,21,180,240,stacksats_mvrv_weight,441,6,0.356129226725832,179.89068080837023,83.33333333333334,50692644.84654855,50512754.16574016,13,
success,21,180,240,stacksats_momentum_weight,441,6,0.4347660124857988,219.61228708314593,83.33333333333334,50732366.452823326,50512754.16574016,13,
success,21,180,270,sma_180d_weight,471,6,0.7237933891753867,365.60797534204175,83.33333333333334,50878362.14108223,50512754.16574016,36,
success,21,180,270,stacksats_mvrv_weight,471,6,0.5944719970675472,300.28417846289085,83.33333333333334,50813038.34420306,50512754.16574016,36,
success,21,180,270,stacksats_momentum_weight,471,6,0.6658569893803756,336.34270414111234,83.33333333333334,50849096.869881295,50512754.16574016,36,
success,21,180,300,sma_180d_weight,501,6,0.7051374676882993,356.184355583915,83.33333333333334,50868938.52132409,50512754.16574016,73,
success,21,180,300,stacksats_mvrv_weight,501,6,0.5295164344945702,267.47333482343674,83.33333333333334,50780227.50056361,50512754.16574016,73,
success,21,180,300,stacksats_momentum_weight,501,6,0.5650356582947991,285.4150730232286,83.33333333333334,50798169.23876341,50512754.16574016,73,
success,21,180,340,sma_180d_weight,541,6,4.056606319822853,2049.1035778040023,83.33333333333334,52561857.74354417,50512754.16574016,69,
success,21,180,340,stacksats_mvrv_weight,541,6,3.8952612419718147,1967.6037352705825,83.33333333333334,52480357.90101076,50512754.16574016,69,
success,21,180,340,stacksats_momentum_weight,541,6,3.9177220540107305,1978.949310039432,83.33333333333334,52491703.47577961,50512754.16574016,69,
